Date,Open,High,Low,Close,Volume
2010-01-01,1.61689,1.61725,1.61512,1.61693,162645296875.0
2010-01-03,1.61693,1.617,1.61027,1.61415,12024790039.0625
2010-01-04,1.61395,1.6243,1.60595,1.61145,207803703125.0
2010-01-05,1.61155,1.6156,1.5967,1.5992,222414234375.0
2010-01-06,1.5992,1.6065,1.5939,1.60225,228319843750.0
2010-01-07,1.60225,1.60605,1.58975,1.59345,210284062500.0
2010-01-08,1.5935,1.6112,1.5917,1.60177,200009296875.0
2010-01-10,1.6022,1.6099,1.60152,1.60875,22805380859.375
2010-01-11,1.60875,1.61945,1.6065,1.61125,246907406250.0
2010-01-12,1.61125,1.61955,1.60635,1.6153,219479562500.0
2010-01-13,1.6153,1.63085,1.6137,1.6285,239556203125.0
2010-01-14,1.62835,1.63475,1.62505,1.6335,207158343750.0
2010-01-15,1.6335,1.63565,1.62115,1.62618,218746375000.0
2010-01-17,1.62632,1.62915,1.62335,1.629,20964900390.625
2010-01-18,1.629,1.6379,1.62515,1.6353,154495828125.0
2010-01-19,1.6352,1.64585,1.6313,1.63595,249828171875.0
2010-01-20,1.636,1.63715,1.62445,1.6304,215028625000.0
2010-01-21,1.6304,1.6313,1.6126,1.6202,225861218750.0
2010-01-22,1.62015,1.62855,1.60785,1.6105,222343593750.0
2010-01-24,1.61143,1.61385,1.60871,1.61165,19034949218.75
2010-01-25,1.6117,1.6262,1.60965,1.62475,199072843750.0
2010-01-26,1.62475,1.62705,1.6095,1.6145,225984984375.0
2010-01-27,1.6145,1.62455,1.61085,1.6179,295472468750.0
2010-01-28,1.6179,1.6277,1.61135,1.61435,281882718750.0
2010-01-29,1.6144,1.61805,1.59785,1.5986,249560343750.0
2010-01-31,1.59981,1.59981,1.59375,1.59745,21209599609.375
2010-02-01,1.59745,1.59795,1.5852,1.5946,273228500000.0
2010-02-02,1.59455,1.59965,1.59045,1.59895,277121906250.0
2010-02-03,1.59895,1.60705,1.5878,1.5916,266596875000.0
2010-02-04,1.5916,1.5919,1.5732,1.5768,249277500000.0
2010-02-05,1.5768,1.5777,1.55595,1.56405,242504765625.0
